downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.0004,-110,0.08,0.95667,9.7673
16000,0.0004,-110,0.1,0.94333,9.8952
16000,0.0004,-110,0.12,0.92889,9.8346
16000,0.0004,-110,0.14,0.90667,9.7003
16000,0.0004,-110,0.16,0.88111,9.7883
16000,0.0004,-110,0.18,0.84111,9.7782
16000,0.0004,-110,0.2,0.81556,9.8038
16000,0.0004,-100,0.02,0.96778,9.7159
16000,0.0004,-100,0.04,0.94778,9.8529
16000,0.0004,-100,0.06,0.93333,9.6902
16000,0.0004,-100,0.08,0.90778,9.6019
16000,0.0004,-100,0.1,0.89,9.4762
16000,0.0004,-100,0.12,0.85667,9.5146
16000,0.0004,-100,0.14,0.82556,9.6591
16000,0.0004,-100,0.16,0.78778,9.6173
16000,0.0004,-100,0.18,0.75222,9.6265
16000,0.0004,-100,0.2,0.71444,9.6387
16000,0.0004,-90,0.02,0.92889,9.5833
16000,0.0004,-90,0.04,0.9,9.7883
16000,0.0004,-90,0.06,0.86778,9.7831
16000,0.0004,-90,0.08,0.84,9.7598
16000,0.0004,-90,0.1,0.80111,9.5828
16000,0.0004,-90,0.12,0.75444,9.5673
16000,0.0004,-90,0.14,0.70667,9.6801
16000,0.0004,-90,0.16,0.66111,9.6155
16000,0.0004,-90,0.18,0.60889,9.6767
16000,0.0004,-90,0.2,0.55222,9.6695
16000,0.0004,-80,0.02,0.87222,9.6691
16000,0.0004,-80,0.04,0.82667,9.6317
16000,0.0004,-80,0.06,0.77667,9.6351
16000,0.0004,-80,0.08,0.71778,9.6289
16000,0.0004,-80,0.1,0.66444,9.4928
16000,0.0004,-80,0.12,0.60889,9.7716
16000,0.0004,-80,0.14,0.55556,10.072
16000,0.0004,-80,0.16,0.50444,10.062
16000,0.0004,-80,0.18,0.45556,10.147
16000,0.0004,-80,0.2,0.41556,10.074
16000,0.0005,-120,0.02,0.98444,9.2384
16000,0.0005,-120,0.04,0.98222,9.2392
16000,0.0005,-120,0.06,0.97667,9.0494
16000,0.0005,-120,0.08,0.97333,9.1125
16000,0.0005,-120,0.1,0.96556,9.0202
16000,0.0005,-120,0.12,0.95,9.1633
16000,0.0005,-120,0.14,0.93889,9.0582
16000,0.0005,-120,0.16,0.92778,8.8693
16000,0.0005,-120,0.18,0.90667,8.7665
16000,0.0005,-120,0.2,0.87667,8.7232
16000,0.0005,-110,0.02,0.97556,8.7296
16000,0.0005,-110,0.04,0.96889,9.0515
16000,0.0005,-110,0.06,0.95889,9.2085
16000,0.0005,-110,0.08,0.94333,9.2598
16000,0.0005,-110,0.1,0.93111,9.2196
16000,0.0005,-110,0.12,0.91,9.2003
16000,0.0005,-110,0.14,0.88,9.2186
16000,0.0005,-110,0.16,0.85,9.1213
16000,0.0005,-110,0.18,0.81778,9.1403
16000,0.0005,-110,0.2,0.78778,9.0768
16000,0.0005,-100,0.02,0.95444,8.9826
16000,0.0005,-100,0.04,0.93556,9.1121
16000,0.0005,-100,0.06,0.91778,8.933
16000,0.0005,-100,0.08,0.89,9.0983
16000,0.0005,-100,0.1,0.85889,9.1053
16000,0.0005,-100,0.12,0.82778,9.317
16000,0.0005,-100,0.14,0.79111,9.0758
16000,0.0005,-100,0.16,0.75333,8.9659
16000,0.0005,-100,0.18,0.70667,9.0341
16000,0.0005,-100,0.2,0.66,8.91
16000,0.0005,-90,0.02,0.91667,11.185
16000,0.0005,-90,0.04,0.87556,10.943
16000,0.0005,-90,0.06,0.84889,9.9639
16000,0.0005,-90,0.08,0.80667,9.3753
16000,0.0005,-90,0.1,0.76111,9.1395
16000,0.0005,-90,0.12,0.71,9.3421
16000,0.0005,-90,0.14,0.65778,9.2323
16000,0.0005,-90,0.16,0.60333,9.2301
16000,0.0005,-90,0.18,0.55,9.4246
16000,0.0005,-90,0.2,0.5,9.6975
16000,0.0005,-80,0.02,0.84556,9.6999
16000,0.0005,-80,0.04,0.79333,9.5059
16000,0.0005,-80,0.06,0.73778,9.5074
16000,0.0005,-80,0.08,0.68,9.3134
16000,0.0005,-80,0.1,0.60556,9.5431
16000,0.0005,-80,0.12,0.56444,9.3033
16000,0.0005,-80,0.14,0.49667,9.1261
16000,0.0005,-80,0.16,0.45111,9.0905
16000,0.0005,-80,0.18,0.40444,8.8085
16000,0.0005,-80,0.2,0.35111,9.0112
16000,0.0006,-120,0.02,0.87778,10.377
16000,0.0006,-120,0.04,0.88333,10.328
16000,0.0006,-120,0.06,0.92444,10.272
16000,0.0006,-120,0.08,0.95,10.154
16000,0.0006,-120,0.1,0.95333,10.302
16000,0.0006,-120,0.12,0.95778,10.344
16000,0.0006,-120,0.14,0.95444,13.327
16000,0.0006,-120,0.16,0.95111,11.23
16000,0.0006,-120,0.18,0.94,10.394
16000,0.0006,-120,0.2,0.93111,10.684
16000,0.0006,-110,0.02,0.98556,10.941
16000,0.0006,-110,0.04,0.98222,10.196
16000,0.0006,-110,0.06,0.97556,10.137
16000,0.0006,-110,0.08,0.97333,10.217
16000,0.0006,-110,0.1,0.96222,10.425
16000,0.0006,-110,0.12,0.94778,10.297
16000,0.0006,-110,0.14,0.93889,10.292
16000,0.0006,-110,0.16,0.92333,10.297
16000,0.0006,-110,0.18,0.89889,10.328
16000,0.0006,-110,0.2,0.87222,10.308
16000,0.0006,-100,0.02,0.97556,10.679
16000,0.0006,-100,0.04,0.96444,10.637
16000,0.0006,-100,0.06,0.95444,10.409
16000,0.0006,-100,0.08,0.94,10.558
16000,0.0006,-100,0.1,0.92,10.457
16000,0.0006,-100,0.12,0.90111,10.421
16000,0.0006,-100,0.14,0.87556,10.23
16000,0.0006,-100,0.16,0.84111,10.193
16000,0.0006,-100,0.18,0.80444,10.341
16000,0.0006,-100,0.2,0.77333,10.236
16000,0.0006,-90,0.02,0.94889,10.365
16000,0.0006,-90,0.04,0.92444,10.311
16000,0.0006,-90,0.06,0.90667,10.373
16000,0.0006,-90,0.08,0.87667,10.288
16000,0.0006,-90,0.1,0.84667,10.348
16000,0.0006,-90,0.12,0.81,10.459
16000,0.0006,-90,0.14,0.77111,10.454
16000,0.0006,-90,0.16,0.73111,10.366
16000,0.0006,-90,0.18,0.69444,10.417
16000,0.0006,-90,0.2,0.64667,10.498
16000,0.0006,-80,0.02,0.89667,10.295
16000,0.0006,-80,0.04,0.85778,10.315
16000,0.0006,-80,0.06,0.82778,10.487
16000,0.0006,-80,0.08,0.78556,10.372
16000,0.0006,-80,0.1,0.73667,10.381
16000,0.0006,-80,0.12,0.68222,10.259
16000,0.0006,-80,0.14,0.64333,10.29
16000,0.0006,-80,0.16,0.58333,10.272
16000,0.0006,-80,0.18,0.53667,10.354
16000,0.0006,-80,0.2,0.49111,10.427
16000,0.0007,-120,0.02,0.98667,10.196
16000,0.0007,-120,0.04,0.98556,10.154
16000,0.0007,-120,0.06,0.98333,10.151
16000,0.0007,-120,0.08,0.98,10.062
16000,0.0007,-120,0.1,0.97444,9.9871
16000,0.0007,-120,0.12,0.96667,9.9719
16000,0.0007,-120,0.14,0.95444,10.14
16000,0.0007,-120,0.16,0.94222,9.9906
16000,0.0007,-120,0.18,0.93222,10.108
16000,0.0007,-120,0.2,0.91556,10.083
16000,0.0007,-110,0.02,0.98222,10.06
16000,0.0007,-110,0.04,0.97556,9.9943
16000,0.0007,-110,0.06,0.97111,10.051
16000,0.0007,-110,0.08,0.96111,10.06
16000,0.0007,-110,0.1,0.95222,10.176
16000,0.0007,-110,0.12,0.93889,10.226
16000,0.0007,-110,0.14,0.92,10.38
16000,0.0007,-110,0.16,0.89444,10.471
16000,0.0007,-110,0.18,0.85889,10.363
16000,0.0007,-110,0.2,0.83,10.257
16000,0.0007,-100,0.02,0.96556,10.262
16000,0.0007,-100,0.04,0.95,10.272
16000,0.0007,-100,0.06,0.93667,10.104
16000,0.0007,-100,0.08,0.91889,10.117
16000,0.0007,-100,0.1,0.90111,9.9521
16000,0.0007,-100,0.12,0.86444,10.091
16000,0.0007,-100,0.14,0.83333,10.154
16000,0.0007,-100,0.16,0.80333,10.787
16000,0.0007,-100,0.18,0.77111,10.556
16000,0.0007,-100,0.2,0.73778,10.187
16000,0.0007,-90,0.02,0.93111,9.967
16000,0.0007,-90,0.04,0.90667,10.274
16000,0.0007,-90,0.06,0.87111,10.314
16000,0.0007,-90,0.08,0.84667,10.121
16000,0.0007,-90,0.1,0.81556,10.181
16000,0.0007,-90,0.12,0.76667,10.151
16000,0.0007,-90,0.14,0.72556,10.26
16000,0.0007,-90,0.16,0.68444,10.127
16000,0.0007,-90,0.18,0.63222,9.9564
16000,0.0007,-90,0.2,0.58778,10.008
16000,0.0007,-80,0.02,0.86778,9.9881
16000,0.0007,-80,0.04,0.83111,10.189
16000,0.0007,-80,0.06,0.78444,10.259
16000,0.0007,-80,0.08,0.74111,10.268
16000,0.0007,-80,0.1,0.67778,10.3
16000,0.0007,-80,0.12,0.62889,10.168
16000,0.0007,-80,0.14,0.57778,10.312
16000,0.0007,-80,0.16,0.52444,10.19
16000,0.0007,-80,0.18,0.47667,10.056
16000,0.0007,-80,0.2,0.44,9.923
16000,0.0008,-120,0.02,0.98333,9.7328
16000,0.0008,-120,0.04,0.97889,9.8306
16000,0.0008,-120,0.06,0.97222,9.78
16000,0.0008,-120,0.08,0.96222,9.7838
