downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.0004,-100,0.0003,0.88889,10.47
16000,0.0004,-100,0.0004,0.98444,10.816
16000,0.0004,-100,0.0005,0.98444,10.984
16000,0.0004,-100,0.0006,0.98444,10.982
16000,0.0004,-100,0.0007,0.98444,10.866
16000,0.0004,-100,0.0008,0.98444,10.89
16000,0.0004,-100,0.0009,0.98444,10.916
16000,0.0004,-100,0.001,0.98444,11.01
16000,0.0004,-90,0.0001,0.88889,10.906
16000,0.0004,-90,0.0002,0.88889,10.799
16000,0.0004,-90,0.0003,0.88889,10.876
16000,0.0004,-90,0.0004,0.97667,10.951
16000,0.0004,-90,0.0005,0.97667,10.804
16000,0.0004,-90,0.0006,0.97667,10.78
16000,0.0004,-90,0.0007,0.97667,10.564
16000,0.0004,-90,0.0008,0.97333,10.494
16000,0.0004,-90,0.0009,0.97333,10.763
16000,0.0004,-90,0.001,0.97333,10.616
16000,0.0004,-80,0.0001,0.88889,10.456
16000,0.0004,-80,0.0002,0.88889,10.388
16000,0.0004,-80,0.0003,0.88889,10.445
16000,0.0004,-80,0.0004,0.95111,10.643
16000,0.0004,-80,0.0005,0.95111,10.449
16000,0.0004,-80,0.0006,0.95111,10.465
16000,0.0004,-80,0.0007,0.95111,10.48
16000,0.0004,-80,0.0008,0.94667,10.474
16000,0.0004,-80,0.0009,0.94667,10.48
16000,0.0004,-80,0.001,0.94667,10.631
16000,0.0005,-120,0.0001,0.88889,9.7425
16000,0.0005,-120,0.0002,0.88889,9.7258
16000,0.0005,-120,0.0003,0.88889,9.7218
16000,0.0005,-120,0.0004,0.88889,9.6787
16000,0.0005,-120,0.0005,0.98444,9.7009
16000,0.0005,-120,0.0006,0.98444,9.6998
16000,0.0005,-120,0.0007,0.98444,9.8586
16000,0.0005,-120,0.0008,0.98444,9.6662
16000,0.0005,-120,0.0009,0.98444,9.7115
16000,0.0005,-120,0.001,0.98444,9.6777
16000,0.0005,-110,0.0001,0.88889,9.7436
16000,0.0005,-110,0.0002,0.88889,9.7382
16000,0.0005,-110,0.0003,0.88889,9.8167
16000,0.0005,-110,0.0004,0.88889,9.7283
16000,0.0005,-110,0.0005,0.98778,9.7907
16000,0.0005,-110,0.0006,0.98778,9.8151
16000,0.0005,-110,0.0007,0.98778,9.7349
16000,0.0005,-110,0.0008,0.98778,9.7782
16000,0.0005,-110,0.0009,0.98778,9.6663
16000,0.0005,-110,0.001,0.98556,9.7384
16000,0.0005,-100,0.0001,0.88889,10.053
16000,0.0005,-100,0.0002,0.88889,10.167
16000,0.0005,-100,0.0003,0.88889,9.9718
16000,0.0005,-100,0.0004,0.88889,10.077
16000,0.0005,-100,0.0005,0.98111,10.088
16000,0.0005,-100,0.0006,0.98111,10.244
16000,0.0005,-100,0.0007,0.98111,10.356
16000,0.0005,-100,0.0008,0.98111,10.132
16000,0.0005,-100,0.0009,0.98111,10.196
16000,0.0005,-100,0.001,0.97778,10.088
16000,0.0005,-90,0.0001,0.88889,10.068
16000,0.0005,-90,0.0002,0.88889,10.011
16000,0.0005,-90,0.0003,0.88889,10.132
16000,0.0005,-90,0.0004,0.88889,9.921
16000,0.0005,-90,0.0005,0.96667,9.656
16000,0.0005,-90,0.0006,0.96667,9.6957
16000,0.0005,-90,0.0007,0.96667,9.786
16000,0.0005,-90,0.0008,0.96667,9.6651
16000,0.0005,-90,0.0009,0.96667,9.7105
16000,0.0005,-90,0.001,0.96333,9.6633
16000,0.0005,-80,0.0001,0.88889,9.689
16000,0.0005,-80,0.0002,0.88889,9.6716
16000,0.0005,-80,0.0003,0.88889,9.6054
16000,0.0005,-80,0.0004,0.88889,9.7223
16000,0.0005,-80,0.0005,0.94333,9.7577
16000,0.0005,-80,0.0006,0.94333,9.7421
16000,0.0005,-80,0.0007,0.94333,9.6956
